1,1,2018-01-01
2,2,2018-01-01
2,2,2018-01-01
3,3,2018-01-01
4,1,2018-01-01
5,4,2018-01-01
5,4,2018-01-01
5,4,2018-01-01
6,5,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
8,7,2018-01-01
7,6,2018-01-01
4,1,2018-01-01
9,8,2018-01-01
10,9,2018-01-01
10,9,2018-01-01
11,10,2018-01-01
12,11,2018-01-01
13,12,2018-01-01
14,13,2018-01-01
14,13,2018-01-01
15,14,2018-01-01
16,15,2018-01-01
14,13,2018-01-01
17,16,2018-01-01
18,6,2018-01-01
19,1,2018-01-01
20,8,2018-01-01
21,17,2018-01-01
21,17,2018-01-01
22,9,2018-01-01
23,6,2018-01-01
4,1,2018-01-01
24,18,2018-01-01
25,19,2018-01-01
26,19,2018-01-01
27,1,2018-01-01
21,17,2018-01-01
28,20,2018-01-01
29,13,2018-01-01
30,19,2018-01-01
31,8,2018-01-01
32,21,2018-01-01
33,8,2018-01-01
34,16,2018-01-01
7,6,2018-01-01
35,22,2018-01-01
36,23,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
37,24,2018-01-01
38,25,2018-01-01
39,26,2018-01-01
6,5,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
40,19,2018-01-01
41,9,2018-01-01
7,6,2018-01-01
4,1,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
42,17,2018-01-01
43,27,2018-01-01
44,9,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
45,28,2018-01-01
7,6,2018-01-01
7,6,2018-01-01
46,9,2018-01-01
47,21,2018-01-01
48,1,2018-01-02
49,29,2018-01-02
49,29,2018-01-02
48,1,2018-01-02
50,30,2018-01-02
50,30,2018-01-02
48,1,2018-01-02
48,1,2018-01-02
48,1,2018-01-02
48,1,2018-01-02
48,1,2018-01-02
50,30,2018-01-02
51,9,2018-01-02
52,31,2018-01-02
21,17,2018-01-02
53,32,2018-01-02
54,33,2018-01-02
55,34,2018-01-02
55,34,2018-01-02
56,17,2018-01-02
57,22,2018-01-02
58,13,2018-01-02
15,14,2018-01-02
15,14,2018-01-02
31,8,2018-01-02
59,19,2018-01-02
60,17,2018-01-02
60,17,2018-01-02
61,12,2018-01-02
62,10,2018-01-02
52,31,2018-01-02
4,1,2018-01-02
63,17,2018-01-02
64,35,2018-01-02
65,36,2018-01-02
66,8,2018-01-02
67,36,2018-01-02
25,19,2018-01-02
58,13,2018-01-02
31,8,2018-01-02
68,31,2018-01-02
69,37,2018-01-02
70,35,2018-01-02
71,8,2018-01-02
