1,1,2018-01-01,1
2,2,2018-01-01,1
2,3,2018-01-01,1
3,4,2018-01-01,1
4,5,2018-01-01,1
5,6,2018-01-01,1
5,6,2018-01-01,1
5,7,2018-01-01,1
6,8,2018-01-01,1
7,9,2018-01-01,1
7,9,2018-01-01,1
8,8,2018-01-01,1
7,9,2018-01-01,1
4,5,2018-01-01,1
9,10,2018-01-01,1
10,11,2018-01-01,1
10,12,2018-01-01,1
11,13,2018-01-01,1
12,14,2018-01-01,1
13,15,2018-01-01,1
14,16,2018-01-01,1
14,17,2018-01-01,1
15,15,2018-01-01,1
16,15,2018-01-01,1
14,18,2018-01-01,1
17,19,2018-01-01,1
18,20,2018-01-01,1
19,21,2018-01-01,1
20,22,2018-01-01,1
21,6,2018-01-01,1
21,6,2018-01-01,1
22,23,2018-01-01,1
23,24,2018-01-01,1
4,5,2018-01-01,1
24,25,2018-01-01,1
25,26,2018-01-01,1
26,26,2018-01-01,1
27,27,2018-01-01,1
21,6,2018-01-01,1
28,28,2018-01-01,1
29,29,2018-01-01,1
30,30,2018-01-01,1
31,31,2018-01-01,1
32,31,2018-01-01,1
33,32,2018-01-01,1
34,33,2018-01-01,1
7,34,2018-01-01,1
35,9,2018-01-01,1
36,13,2018-01-01,1
7,35,2018-01-01,1
7,9,2018-01-01,1
7,9,2018-01-01,1
37,36,2018-01-01,1
38,37,2018-01-01,1
39,38,2018-01-01,1
6,8,2018-01-01,1
7,9,2018-01-01,1
7,9,2018-01-01,1
40,39,2018-01-01,1
41,40,2018-01-01,1
7,9,2018-01-01,1
4,41,2018-01-01,1
7,9,2018-01-01,1
7,42,2018-01-01,1
7,9,2018-01-01,1
7,9,2018-01-01,1
42,43,2018-01-01,1
43,9,2018-01-01,1
44,44,2018-01-01,1
7,9,2018-01-01,1
7,35,2018-01-01,1
45,13,2018-01-01,1
7,9,2018-01-01,1
7,9,2018-01-01,1
46,22,2018-01-01,1
47,45,2018-01-01,1
48,46,2018-01-02,1
49,47,2018-01-02,1
49,48,2018-01-02,1
48,46,2018-01-02,1
50,47,2018-01-02,1
50,48,2018-01-02,1
48,48,2018-01-02,1
48,48,2018-01-02,1
48,49,2018-01-02,1
48,48,2018-01-02,1
48,48,2018-01-02,1
50,48,2018-01-02,1
51,50,2018-01-02,1
52,51,2018-01-02,1
21,52,2018-01-02,1
53,53,2018-01-02,1
54,54,2018-01-02,1
55,5,2018-01-02,1
55,5,2018-01-02,1
56,55,2018-01-02,1
57,1,2018-01-02,1
58,56,2018-01-02,1
15,57,2018-01-02,1
15,57,2018-01-02,1
31,31,2018-01-02,1
59,58,2018-01-02,1
60,59,2018-01-02,1
60,17,2018-01-02,1
61,60,2018-01-02,1
62,50,2018-01-02,1
52,61,2018-01-02,1
4,5,2018-01-02,1
63,62,2018-01-02,1
64,63,2018-01-02,1
65,64,2018-01-02,1
66,65,2018-01-02,1
67,66,2018-01-02,1
