1,1,1
2,2,1
2,3,1
3,4,1
4,5,1
5,6,1
5,6,1
5,7,1
6,8,1
7,9,1
7,9,1
8,8,1
7,9,1
4,5,1
9,10,1
10,11,1
10,12,1
11,13,1
12,14,1
13,15,1
14,16,1
14,17,1
15,15,1
16,15,1
14,18,1
17,19,1
18,20,1
19,21,1
20,22,1
21,6,1
21,6,1
22,23,1
23,24,1
4,5,1
24,25,1
25,26,1
26,26,1
27,27,1
21,6,1
28,28,1
29,29,1
30,30,1
31,31,1
32,31,1
33,32,1
34,33,1
7,34,1
35,9,1
36,13,1
7,35,1
7,9,1
7,9,1
37,36,1
38,37,1
39,38,1
6,8,1
7,9,1
7,9,1
40,39,1
41,40,1
7,9,1
4,41,1
7,9,1
7,42,1
7,9,1
7,9,1
42,43,1
43,9,1
44,44,1
7,9,1
7,35,1
45,13,1
7,9,1
7,9,1
46,22,1
47,45,1
48,46,1
49,47,1
49,48,1
48,46,1
50,47,1
50,48,1
48,48,1
48,48,1
48,49,1
48,48,1
48,48,1
50,48,1
51,50,1
52,51,1
21,52,1
53,53,1
54,54,1
55,5,1
55,5,1
56,55,1
57,1,1
58,56,1
15,57,1
15,57,1
31,31,1
59,58,1
60,59,1
60,17,1
61,60,1
62,50,1
52,61,1
4,5,1
63,62,1
64,63,1
65,64,1
66,65,1
67,66,1
25,67,1
58,56,1
31,31,1
68,68,1
69,69,1
70,70,1
71,71,1
21,72,1
72,60,1
73,73,1
74,74,1
74,74,1
27,43,1
75,75,1
76,76,1
32,77,1
77,78,1
78,79,1
4,80,1
27,43,1
79,81,1
80,82,1
81,83,1
32,77,1
77,78,1
82,84,1
83,13,1
83,85,1
84,86,1
7,9,1
7,9,1
85,9,1
7,9,1
86,87,1
87,88,1
88,85,1
89,9,1
83,89,1
86,87,1
44,13,1
4,80,1
32,76,1
4,80,1
90,90,1
9,91,1
91,92,1
91,91,1
92,93,1
90,90,1
90,90,1
92,93,1
93,94,1
94,9,1
82,9,1
44,9,1
90,90,1
83,95,1
7,9,1
95,96,1
4,5,1
7,9,1
88,97,1
88,13,1
96,98,1
88,13,1
37,34,1
97,9,1
97,44,1
31,31,1
98,99,1
98,99,1
99,100,1
99,100,1
100,101,1
100,102,1
48,48,1
101,103,1
102,104,1
103,105,1
48,48,1
101,103,1
102,104,1
104,46,1
48,48,1
94,9,1
82,9,1
44,9,1
93,106,1
27,43,1
32,77,1
77,78,1
105,107,1
106,108,1
92,93,1
107,109,1
108,109,1
109,110,1
48,48,1
21,52,1
107,109,1
108,109,1
110,111,1
4,80,1
111,112,1
112,113,1
113,114,1
113,114,1
114,114,1
102,114,1
113,115,1
113,116,1
115,103,1
116,117,1
103,103,1
96,85,1
7,34,1
117,118,1
118,119,1
83,120,1
23,19,1
119,121,1
83,122,1
83,123,1
120,124,1
121,125,1
122,126,1
123,127,1
68,68,1
69,69,1
23,24,1
23,128,1
23,129,1
124,130,1
124,130,1
125,4,1
125,4,1
126,131,1
100,7,1
127,90,1
121,125,1
32,132,1
128,78,1
32,133,1
9,134,1
129,19,1
130,19,1
7,9,1
83,135,1
83,98,1
131,85,1
132,3,1
133,136,1
134,120,1
135,137,1
136,138,1
137,139,1
138,140,1
12,7,1
90,90,1
90,90,1
21,90,1
102,1,1
139,90,1
133,136,1
140,123,1
44,141,1
141,142,1
142,143,1
143,144,1
143,144,1
48,145,1
21,146,1
144,130,1
39,38,1
145,147,1
146,148,1
146,149,1
147,150,1
148,151,1
149,152,1
150,153,1
151,154,1
152,155,1
153,156,1
154,157,1
155,97,1
7,158,1
156,85,1
157,159,1
157,159,1
158,160,1
159,161,1
160,9,1
161,9,1
160,9,1
162,85,1
7,84,1
83,123,1
163,162,1
7,163,1
164,164,1
164,165,1
165,166,1
166,9,1
167,167,1
4,41,1
131,9,1
131,9,1
168,168,1
166,169,1
169,170,1
43,9,1
83,13,1
83,13,1
43,169,1
83,169,1
7,86,1
7,13,1
96,9,1
131,85,1
83,171,1
44,9,1
44,9,1
1,25,1
170,25,1
131,9,1
131,9,1
21,146,1
171,172,1
49,173,1
172,47,1
172,145,1
173,1,1
1,25,1
1,1,1
1,174,1
7,42,1
7,9,1
7,9,1
174,175,1
4,41,1
175,5,1
4,41,1
21,146,1
169,9,1
7,176,1
176,1,1
169,9,1
176,1,1
177,124,1
4,41,1
90,111,1
122,177,1
125,4,1
126,131,1
178,131,1
113,178,1
179,179,1
113,4,1
180,180,1
181,1,1
169,9,1
83,85,1
49,173,1
103,103,1
182,117,1
103,181,1
126,3,1
183,25,1
1,25,1
184,182,1
185,183,1
51,184,1
186,106,1
187,185,1
184,186,1
188,187,1
189,188,1
49,189,1
190,190,1
136,191,1
191,77,1
192,192,1
192,193,1
193,194,1
194,194,1
192,192,1
195,195,1
148,196,1
196,152,1
197,196,1
198,158,1
