1,1,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
2,2,2014-01-01
3,3,2014-01-01
4,4,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
5,5,2014-01-01
1,1,2014-01-01
6,6,2014-01-01
7,7,2014-01-01
8,8,2014-01-01
9,9,2014-01-01
10,10,2014-01-01
11,11,2014-01-01
11,11,2014-01-01
11,11,2014-01-01
12,12,2014-01-01
13,13,2014-01-01
12,12,2014-01-01
14,10,2014-01-01
15,14,2014-01-01
16,15,2014-01-01
10,10,2014-01-01
17,16,2014-01-01
18,17,2014-01-01
19,3,2014-01-01
20,18,2014-01-01
20,18,2014-01-01
21,19,2014-01-01
22,1,2014-01-01
23,20,2014-01-01
20,18,2014-01-01
9,9,2014-01-01
24,21,2014-01-01
24,21,2014-01-01
1,1,2014-01-01
25,10,2014-01-01
26,22,2014-01-01
27,23,2014-01-01
20,18,2014-01-01
28,24,2014-01-01
29,25,2014-01-01
30,26,2014-01-01
29,25,2014-01-01
31,27,2014-01-01
32,28,2014-01-01
33,8,2014-01-01
34,29,2014-01-01
9,9,2014-01-01
33,8,2014-01-01
34,29,2014-01-01
35,30,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
36,10,2014-01-01
37,31,2014-01-01
37,31,2014-01-01
38,22,2014-01-01
39,32,2014-01-01
40,11,2014-01-01
41,32,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
39,32,2014-01-01
39,32,2014-01-01
42,33,2014-01-01
43,34,2014-01-01
44,35,2014-01-01
45,36,2014-01-01
46,37,2014-01-01
47,38,2014-01-02
1,1,2014-01-02
48,22,2014-01-02
49,39,2014-01-02
50,40,2014-01-02
51,1,2014-01-02
52,41,2014-01-02
53,42,2014-01-02
53,42,2014-01-02
54,43,2014-01-02
55,10,2014-01-02
56,44,2014-01-02
57,45,2014-01-02
58,31,2014-01-02
59,26,2014-01-02
60,34,2014-01-02
60,34,2014-01-02
61,22,2014-01-02
62,6,2014-01-02
63,16,2014-01-02
60,34,2014-01-02
38,22,2014-01-02
64,10,2014-01-02
65,46,2014-01-02
66,32,2014-01-02
66,32,2014-01-02
67,38,2014-01-02
39,32,2014-01-02
39,32,2014-01-02
