1,1,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
2,2,2014-01-01
3,3,2014-01-01
4,4,2014-01-01
1,5,2014-01-01
1,5,2014-01-01
1,5,2014-01-01
5,6,2014-01-01
1,1,2014-01-01
6,5,2014-01-01
7,7,2014-01-01
8,7,2014-01-01
9,8,2014-01-01
10,9,2014-01-01
11,10,2014-01-01
11,11,2014-01-01
11,10,2014-01-01
12,7,2014-01-01
13,7,2014-01-01
12,5,2014-01-01
14,7,2014-01-01
15,7,2014-01-01
16,5,2014-01-01
10,5,2014-01-01
17,12,2014-01-01
18,13,2014-01-01
19,14,2014-01-01
20,15,2014-01-01
20,15,2014-01-01
21,5,2014-01-01
22,16,2014-01-01
23,17,2014-01-01
20,15,2014-01-01
9,8,2014-01-01
24,16,2014-01-01
24,18,2014-01-01
1,5,2014-01-01
25,19,2014-01-01
26,20,2014-01-01
27,21,2014-01-01
20,15,2014-01-01
28,21,2014-01-01
29,5,2014-01-01
30,22,2014-01-01
29,5,2014-01-01
31,5,2014-01-01
32,16,2014-01-01
33,23,2014-01-01
34,23,2014-01-01
9,8,2014-01-01
33,23,2014-01-01
34,23,2014-01-01
35,24,2014-01-01
1,5,2014-01-01
1,1,2014-01-01
36,17,2014-01-01
37,5,2014-01-01
37,25,2014-01-01
38,16,2014-01-01
39,26,2014-01-01
40,27,2014-01-01
41,1,2014-01-01
1,1,2014-01-01
1,1,2014-01-01
39,1,2014-01-01
39,1,2014-01-01
42,11,2014-01-01
43,28,2014-01-01
44,29,2014-01-01
45,29,2014-01-01
46,5,2014-01-01
47,30,2014-01-02
1,28,2014-01-02
48,20,2014-01-02
49,5,2014-01-02
50,31,2014-01-02
51,11,2014-01-02
52,24,2014-01-02
53,32,2014-01-02
53,5,2014-01-02
54,5,2014-01-02
55,28,2014-01-02
56,5,2014-01-02
57,33,2014-01-02
58,33,2014-01-02
59,34,2014-01-02
60,35,2014-01-02
60,35,2014-01-02
61,16,2014-01-02
62,5,2014-01-02
63,9,2014-01-02
60,28,2014-01-02
38,16,2014-01-02
64,7,2014-01-02
65,7,2014-01-02
66,1,2014-01-02
66,1,2014-01-02
67,22,2014-01-02
39,1,2014-01-02
39,16,2014-01-02
